ID,Area,Page_or_Component,Requirement,Baseline_or_Enhancement_Rule,Acceptance_Evidence,Priority,Data_Dependency,Status
SVE-GOV-11,GOV,No premature completion,Do not mark a row complete from code existence alone.,"Rendering, data, interaction, explanation, performance, and QA must pass.","Acceptance evidence attached or referenced. Current evidence: Completed packages passed code, calculation, and rendered QA; remaining rows cannot close from code existence alone. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-GOV-12,GOV,Final approval,Do not merge the enhancement branch without explicit user approval.,Final combined visual review must pass first.,"Approval recorded after complete review. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; final Git review and explicit user approval. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Git and project governance,VERIFIED
SVE-AUD-01,AUDIT,Executive Overview,"Inventory KPI cards, executive charts, conclusions, and navigation.",Preserve strong current theme and business story.,"Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/Executive_Overview.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/Executive_Overview.py,VERIFIED
SVE-AUD-02,AUDIT,Visitor Intent Predictor,"Inventory single-visitor score, input controls, decision result, and explanations.",Enhance with local explainability and similar-visitor intelligence.,"Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/1_Visitor_Intent_Predictor.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/1_Visitor_Intent_Predictor.py,VERIFIED
SVE-AUD-03,AUDIT,Batch Scoring,"Inventory batch upload, score outputs, targeting charts, and downloads.",Enhance campaign scenarios and audience-quality analysis.,"Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/2_Batch_Scoring.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/2_Batch_Scoring.py,VERIFIED
SVE-AUD-04,AUDIT,Model Benchmark Selection,"Inventory benchmark, champion, threshold, calibration, and model evidence.",Reuse approved ML Visual Intelligence data and avoid duplicate charts.,"Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/3_Model_Benchmark_Selection.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/3_Model_Benchmark_Selection.py,VERIFIED
SVE-AUD-05,AUDIT,Business KPI Forecasting,"Inventory forecast charts, KPI comparisons, diagnostics, and narrative.","Add uncertainty, backtesting, residuals, and scenarios.","Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/4_Business_KPI_Forecasting.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/4_Business_KPI_Forecasting.py,VERIFIED
SVE-AUD-06,AUDIT,Anomaly and Outlier,"Inventory anomaly rate, risk map, tables, and investigation flow.","Add segment comparisons, profiles, and guided investigation.","Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/5_Anomaly_Outlier.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/5_Anomaly_Outlier.py,VERIFIED
SVE-AUD-07,AUDIT,"Monitoring, Drift and Health","Inventory drift, health, prediction, alert, and label-evidence views.",Add trend history and truthful matured-cohort states.,"Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/6_Monitoring_Drift_Health.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/6_Monitoring_Drift_Health.py,VERIFIED
SVE-AUD-08,AUDIT,MLOps Architecture,Inventory current architecture visuals and explanatory content.,Add interactive layered architecture and lifecycle views.,"Page screenshot, chart inventory, source mapping, and KEEP/ENHANCE/REPLACE/MOVE/RETIRE decision recorded for app/pages/7_MLOps_Architecture.py; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/7_MLOps_Architecture.py,VERIFIED
SVE-AUD-09,AUDIT,MVD Coverage Proof,Inventory course-proof charts and evidence.,Preserve proof; keep it separate from the main executive story.,"Package 1 replaced the old proof page with governed ML Validation & Evidence; decision and lineage are documented in Package 1 reconciliation files and commit 82c3f66. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,app/pages/8_MVD_Coverage_Proof.py,VERIFIED
SVE-AUD-10,AUDIT,Champion PR-AUC comparison,Keep or enhance the existing champion comparison if it remains accurate and readable.,Do not duplicate an existing business message.,"Champion comparison source, selection logic, and truthfulness correction are documented and tested in Package 1 commit 82c3f66. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-AUD-11,AUDIT,Threshold trade-off,Keep or enhance the existing precision/recall/F1/target-share trade-off.,Do not duplicate an existing business message.,"Decision, source, and enhancement gap documented; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-AUD-12,AUDIT,Campaign trade-off,Keep or enhance buyer-capture versus target-quality analysis.,Do not duplicate an existing business message.,"Decision, source, and enhancement gap documented; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-AUD-13,AUDIT,Forecast visuals,Keep useful future KPI and unique-visitor forecast views; remove duplicates.,Do not duplicate an existing business message.,"Decision, source, and enhancement gap documented; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-AUD-14,AUDIT,Anomaly visuals,Keep useful anomaly-rate-by-segment and purchase-intent risk map views.,Do not duplicate an existing business message.,"Decision, source, and enhancement gap documented; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-AUD-15,AUDIT,Clustering proof,"Preserve PCA, K-Means, and DBSCAN proof, but separate course proof from business segmentation.",Do not duplicate an existing business message.,"PCA, K-Means, DBSCAN, and LOF proof are preserved separately from business segmentation in Package 1 commit 82c3f66. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-AUD-16,AUDIT,Monitoring proof,Preserve useful Grafana and Prometheus evidence without turning Streamlit into a screenshot gallery.,Do not duplicate an existing business message.,"Decision, source, and enhancement gap documented; Package 3 source inventory and decisions completed; user-environment screenshots remain pending; Package 3 source inventory and preservation decision verified on 30 June 2026. Automated screenshots were not produced: the local Playwright driver was incompatible with the installed macOS runtime, and both Chrome capture modes timed out. The project owner accepted the documented QA exception to close Package 3; see docs/streamlit/PACKAGE_03_CAPTURE_EXCEPTION.md. Closure sprint implementation evidence: docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Existing verified project outputs,VERIFIED
SVE-UX-01,UX,Design tokens,"Centralize current theme colors, typography, spacing, borders, chart backgrounds, and semantic states.",Preserve current appearance; standardize extensions.,"Shared design tokens and product CSS verified in Package 1 commit 82c3f66 and reused by Package 2. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-02,UX,Primary chart library,Choose one primary interactive chart library after auditing current usage.,Do not rewrite good existing charts merely to standardize.,"Plotly is the primary interactive chart library for the enhanced evidence pages; existing useful visuals were not rewritten without reason. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-03,UX,KPI card system,"Create reusable KPI cards with value, context, delta, status, and tooltip.",Use only where a KPI helps a decision.,"Reusable KPI and detail-card components verified in Package 1 and Package 2 rendered reviews. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-04,UX,Chart header,Give each chart a decision-focused title and concise subtitle.,Avoid generic titles such as 'Chart' or 'Analysis'.,"Decision-focused titles and subtitles verified across Package 1 and Package 2 major visuals. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-05,UX,Interpretation block,"Every major visual must include what it shows, how to read it, actual-number finding, conclusion, recommended action, and limitation.",No generic boilerplate or invented conclusions.,"Governed interpretation blocks are calculation-backed and covered by focused tests and rendered review. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-06,UX,Progressive disclosure,"Use tabs, expanders, and drill-downs to separate executive and technical detail.",Keep first view calm and decision-oriented.,"Tabs, expanders, and calm first-view hierarchy verified in the completed Package 1 and Package 2 pages. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-07,UX,Accessibility,"Use readable text, color-blind-safe distinctions, non-color cues, keyboard-friendly controls, and clear tooltips.",Do not rely on red/green alone.,"Accessibility checklist passed. Current evidence: Material visual readability was reviewed for Package 1 and Package 2; full keyboard and accessibility checklist remains open. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-08,UX,Responsive layout,"Support common laptop widths without clipping, overlap, or horizontal overflow.",Avoid fixed-width layouts that break on smaller screens.,"Responsive screenshots reviewed. Current evidence: Package 1 and Package 2 passed laptop-width visual review; remaining pages are pending. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-09,UX,Empty states,"Provide helpful empty, unavailable, and blocked-data states.",Explain what is missing and the next action.,"Helpful unavailable and blocked-evidence states are implemented and tested, including forecast and audience evidence handling. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-10,UX,Loading states,Show spinners or status messages for expensive work.,Avoid frozen-looking pages.,"User sees progress without technical noise. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-11,UX,Source notes,"Show data source, refresh time, and evidence type where relevant.","Distinguish offline, current, simulated, and production evidence.","Source, evidence type, and freshness notes are visible in the completed enhanced pages. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-12,UX,Number formatting,"Use consistent percentages, compact counts, currency, dates, thresholds, and decimals.",Match business meaning and avoid false precision.,"Shared formatting utilities and focused calculation tests verify business-safe counts, percentages, thresholds, and currency. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-13,UX,Visual density,Limit the number of major visuals shown at once.,Prefer one clear message over decorative complexity.,"Package 1 multi-tab review and Package 2 executive visual QA confirmed controlled visual density. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
SVE-UX-14,UX,Data tables,"Use searchable, sortable, filterable tables with meaningful column names and export controls.",Do not show raw technical columns by default.,"Governed evidence tables use meaningful columns and reusable download controls; Package 2 visible executive export remains intentionally excluded. Closure sprint implementation evidence: app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P0,Current .streamlit configuration and shared app styles,VERIFIED
