item_id,source_type,path,feature_area,decision,rationale,reuse_scope,target_package,preconditions
Q-NEW-08,UNTRACKED_PROTOTYPE,app/ui/visitor_similarity_explainability.py,KNN/XAI,REUSE_PARTS,Strong prototype lacks full interaction/performance proof.,Reuse compact KNN/contribution logic after cache and contract tests.,Package 5,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-09,UNTRACKED_PROTOTYPE,docs/streamlit/CLOSURE_SPRINT_QA_PLAN.md,QA,REFERENCE_ONLY,Predates clean Package 2 checkpoint.,Harvest checklist language only.,Final QA,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-10,UNTRACKED_PROTOTYPE,docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md,QA/GOV,REFERENCE_ONLY,Describes an unapproved all-at-once sprint.,Historical context only.,Final QA,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-11,UNTRACKED_PROTOTYPE,scripts/run_streamlit_closure_browser_qa.py,QA,REWRITE,Targets prototype-only headings and an unapproved new page.,Package 3 supplies a current-baseline runner.,Package 3,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-12,UNTRACKED_PROTOTYPE,scripts/run_streamlit_closure_qa.sh,QA,REWRITE,Hard-codes stale commit 82c3f66 and broad prototype files.,Use guarded package-specific runners.,Package 3,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-NEW-13,UNTRACKED_PROTOTYPE,tests/test_closure_sprint_intelligence.py,QA,REUSE_PARTS,Eight narrow tests do not prove the broad prototype.,Reuse assertions only with their controlled feature.,Packages 4-8,Clean a60dcbd source remains baseline; add package tests and visual QA.
Q-META-01,MACOS_METADATA,app/pages/._9_Customer_Segmentation_Journey.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-02,MACOS_METADATA,app/ui/._architecture_intelligence.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-03,MACOS_METADATA,app/ui/._campaign_intelligence.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-04,MACOS_METADATA,app/ui/._closure_core.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-05,MACOS_METADATA,app/ui/._customer_segmentation_journey.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-06,MACOS_METADATA,app/ui/._model_decision_intelligence.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-07,MACOS_METADATA,app/ui/._operations_intelligence.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-08,MACOS_METADATA,app/ui/._visitor_similarity_explainability.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-09,MACOS_METADATA,docs/streamlit/._CLOSURE_SPRINT_QA_PLAN.md,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-10,MACOS_METADATA,docs/streamlit/._CLOSURE_SPRINT_SCOPE_AND_AUDIT.md,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-11,MACOS_METADATA,scripts/._run_streamlit_closure_browser_qa.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-12,MACOS_METADATA,scripts/._run_streamlit_closure_qa.sh,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
Q-META-13,MACOS_METADATA,tests/._test_closure_sprint_intelligence.py,NONE,DELETE_METADATA,AppleDouble metadata is not project source and must never be staged.,None.,Never,No restoration.
