ID,Area,Package,Requirement,Original_Status,Closure_State_Before_Final_QA,Implementation_or_Evidence,Condition_Block_or_Exclusion_Reason,Final_Status
SVE-AUD-16,AUDIT,Package 8/9,Preserve useful Grafana and Prometheus evidence without turning Streamlit into a screenshot gallery.,PLANNED,IMPLEMENTED_PENDING_QA,docs/streamlit/CLOSURE_SPRINT_SCOPE_AND_AUDIT.md; closure audit ZIP and page inventory,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-01,UX,Shared closure layer,"Centralize current theme colors, typography, spacing, borders, chart backgrounds, and semantic states.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-02,UX,Shared closure layer,Choose one primary interactive chart library after auditing current usage.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-03,UX,Shared closure layer,"Create reusable KPI cards with value, context, delta, status, and tooltip.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-04,UX,Shared closure layer,Give each chart a decision-focused title and concise subtitle.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-05,UX,Shared closure layer,"Every major visual must include what it shows, how to read it, actual-number finding, conclusion, recommended action, and limitation.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-06,UX,Shared closure layer,"Use tabs, expanders, and drill-downs to separate executive and technical detail.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-07,UX,Shared closure layer,"Use readable text, color-blind-safe distinctions, non-color cues, keyboard-friendly controls, and clear tooltips.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-08,UX,Shared closure layer,"Support common laptop widths without clipping, overlap, or horizontal overflow.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-09,UX,Shared closure layer,"Provide helpful empty, unavailable, and blocked-data states.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-10,UX,Shared closure layer,Show spinners or status messages for expensive work.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-11,UX,Shared closure layer,"Show data source, refresh time, and evidence type where relevant.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-12,UX,Shared closure layer,"Use consistent percentages, compact counts, currency, dates, thresholds, and decimals.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-13,UX,Shared closure layer,Limit the number of major visuals shown at once.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-14,UX,Shared closure layer,"Use searchable, sortable, filterable tables with meaningful column names and export controls.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-UX-15,UX,Shared closure layer,Prevent visual changes from breaking the approved current theme.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/components.py; app/ui/design_system.py; app/ui/plotly_style.py; app/ui/closure_core.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-01,SHARED,Shared closure layer,Create shared cross-page filter state using Streamlit session state.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-02,SHARED,Shared closure layer,Support date or snapshot-window selection where time exists.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-03,SHARED,Shared closure layer,Support business segment or cluster selection.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-04,SHARED,Shared closure layer,"Support high, medium, and low intent tiers where applicable.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-05,SHARED,Shared closure layer,Provide controlled threshold simulation without silently changing production defaults.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-06,SHARED,Shared closure layer,"Support anomaly flag, severity, and investigation status.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-07,SHARED,Shared closure layer,"Support relevant customer, score, time, or campaign cohorts.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-08,SHARED,Shared closure layer,Show active-filter chips or a concise summary.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-09,SHARED,Shared closure layer,Use st.cache_data for stable transformed tables and chart inputs.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-10,SHARED,Shared closure layer,"Use st.cache_resource for models, explainers, nearest-neighbor indexes, and reusable heavy objects.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-11,SHARED,Shared closure layer,"Precompute UMAP, SHAP summaries, backtests, drift history, and large aggregation tables.",PLANNED,CONDITIONAL_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Precompute only artifacts that exist in the approved pipeline; unsupported UMAP/history remains conditional.,CONDITIONAL
SVE-SHARED-12,SHARED,Shared closure layer,Prefer Parquet or compact derived tables for large interactive inputs.,PLANNED,CONDITIONAL_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Compact CSV evidence is retained where Parquet is not already produced; conversion is not forced during UI closure.,CONDITIONAL
SVE-SHARED-13,SHARED,Shared closure layer,Use deterministic sampling for dense scatter plots while preserving totals and distribution context.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-14,SHARED,Shared closure layer,Render expensive sections only when opened or requested.,PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-15,SHARED,Shared closure layer,Set page-load and interaction performance targets.,PLANNED,CONDITIONAL_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Cold/warm timing targets are measured at final QA on the user machine and cloud deployment.,CONDITIONAL
SVE-SHARED-16,SHARED,Shared closure layer,"Define source path, grain, key, required columns, refresh rule, and fallback for every visual.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-17,SHARED,Shared closure layer,"Record generation time, source hashes, row counts, and parameters for precomputed outputs.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SHARED-18,SHARED,Shared closure layer,"Exports must contain active filters, timestamp, threshold, source, and column definitions.",PLANNED,IMPLEMENTED_PENDING_QA,app/ui/closure_core.py; Package 1 shared design system; consolidated QA timing and cache checks,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-01,EXEC,Package 2 (accepted),"Enhance current KPI cards with context, evidence type, and concise business meaning.",PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-02,EXEC,Package 2 (accepted),Create an interactive total visitors → scored → eligible → targeted → expected buyers funnel.,PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-03,EXEC,Package 2 (accepted),"Simulate target size, contact cost, expected buyers, value, and uplift assumptions.",PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-04,EXEC,Package 2 (accepted),Show audience reduction versus buyer capture and campaign efficiency.,PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-05,EXEC,Package 2 (accepted),"Show composition of the selected target audience by segment, intent tier, and anomaly status.",PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-06,EXEC,Package 2 (accepted),"Show champion, threshold, validation/holdout evidence, and probability reliability at executive level.",PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-07,EXEC,Package 2 (accepted),Show a compact forward KPI outlook with uncertainty and scenario context.,PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-08,EXEC,Package 2 (accepted),"Show current anomaly volume, rate, severity, and key affected segment.",PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-09,EXEC,Package 2 (accepted),"Show application, scoring, drift, alerts, and label readiness in one compact strip.",PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-10,EXEC,Package 2 (accepted),Generate a concise decision summary from active filters and actual results.,PLANNED,IMPLEMENTED_PENDING_QA,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-EXEC-11,EXEC,Package 2 (accepted),"Add clear links to investigate model, audience, forecasts, anomalies, and monitoring.",PLANNED,EXCLUDED_ACCEPTED,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,User accepted Package 2 without visible investigation links or executive CSV download; do not claim implementation.,EXCLUDED
SVE-EXEC-12,EXEC,Package 2 (accepted),Provide an exportable filtered executive brief or summary table.,PLANNED,EXCLUDED_ACCEPTED,app/Executive_Overview.py; app/ui/executive_intelligence.py; tests/test_package_02_executive_overview.py,User accepted Package 2 without visible investigation links or executive CSV download; do not claim implementation.,EXCLUDED
SVE-SEG-01,SEG,Package 6,"Interactive PCA map with clusters, segment filters, hover detail, centroids, and explained variance.",PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-02,SEG,Package 6,Interactive UMAP map for local visitor structure and boundary exploration.,PLANNED,CONDITIONAL_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,No approved UMAP embedding artifact exists; PCA remains the verified projection.,CONDITIONAL
SVE-SEG-03,SEG,Package 6,Compare normalized feature profiles across clusters.,PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-04,SEG,Package 6,"Show size, conversion rate, intent, cart behavior, anomaly rate, and value proxy by cluster.",PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-05,SEG,Package 6,Compare selected clusters across a controlled set of comparable metrics.,PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-06,SEG,Package 6,"Create evidence-based cluster personas with behavior, opportunity, risk, and recommended action.",PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-07,SEG,Package 6,"Show silhouette, Davies-Bouldin, Calinski-Harabasz, size balance, and stability where available.",PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-08,SEG,Package 6,Show boundary or assignment confidence where the method supports it.,CONDITIONAL,CONDITIONAL_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,K-Means assignment confidence is not directly supported by the saved artifacts.,CONDITIONAL
SVE-SEG-09,SEG,Package 6,Show movement between segment snapshots when comparable time snapshots exist.,CONDITIONAL,CONDITIONAL_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Comparable historical segment snapshots are not available.,CONDITIONAL
SVE-SEG-10,SEG,Package 6,Provide searchable visitor table for a selected cluster.,PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-11,SEG,Package 6,"Map segments to campaign approach, retention action, investigation need, and expected value.",PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-SEG-12,SEG,Package 6,Export filtered cluster profiles and visitor assignments.,PLANNED,IMPLEMENTED_PENDING_QA,app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; Package 1 ML validation tables,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-KNN-01,KNN,Package 5,Search by visitor ID or select a visitor from filtered results.,PLANNED,IMPLEMENTED_PENDING_QA,app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-KNN-02,KNN,Package 5,Build or load a cached scaled nearest-neighbor index using approved model features.,PLANNED,IMPLEMENTED_PENDING_QA,app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
SVE-KNN-03,KNN,Package 5,"Show nearest visitors, distance, intent, segment, anomaly status, and outcome evidence where available.",PLANNED,IMPLEMENTED_PENDING_QA,app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; cached scaled neighbour index,Implementation exists in the coordinated closure payload; final status depends on tests and rendered review.,VERIFIED
