inventory_id,matrix_ids,page,source_file,source_line,component_type,component_name,source_anchor,data_source,grain,join_or_key,required_columns,fallback_or_empty_state,decision,decision_reason,target_package,evidence_state
P03-0011,SVE-AUD-01;SVE-AUD-11;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,624,INTERPRETATION,render_interpretation,"render_interpretation(
    what_it_shows=(
        ""The complete decision path from source visitors through validated ""
        ""holdout evidence, threshold eligibility, campaign selection, and ""
        ""expected buyers.""
    ),
    how_to_read=(
        ""Each stage narrows the audience. The final stage is an expectation ""
        ""calculated from validated precision, not an observed campaign result.""
    ),
    actual_finding=(
        f""{target_size:,} selected visitors are expected to contain ""
        f""{scenario['expected_buyers']:.1f} buyers.""
    ),
    conclusion=(
        ""The model supports a deliberately narrow audience with much higher ""
        ""buyer concentration than random outreach.""
    ),
    recommended_action=(
        ""Use the campaign target as the operational shortlist and preserve ""
        ""the excluded population for holdout measurement.""
    ),
    limitation=(
        ""Source, holdout, and campaign stages represent different evidence ""
        ""scopes and must not be interpreted as one production batch.""
    ),
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0012,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,652,CHART,"build_efficiency_figure(source_visitors=source_visitors, target_size=target_size, expected_buyers=scenario['expected_buyers'], baseline_rate=natural_rate)","st.plotly_chart(
    build_efficiency_figure(
        source_visitors=source_visitors,
        target_size=target_size,
        expected_buyers=scenario[""expected_buyers""],
        baseline_rate=natural_rate,
    ),
    use_container_width=True,
    key=""exec_efficiency_comparison"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0013,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,662,INTERPRETATION,render_interpretation,"render_interpretation(
    what_it_shows=(
        ""Selected-audience share, expected buyer yield, and natural random ""
        ""buyer yield in one comparable view.""
    ),
    how_to_read=(
        ""A small audience share with a much larger buyer yield represents ""
        ""efficient prioritisation.""
    ),
    actual_finding=(
        f""The scenario targets {(target_size / source_visitors if source_visitors else 0.0):.2%} of source ""
        f""visitors with an expected {precision:.1%} buyer yield.""
    ),
    conclusion=(
        ""Campaign efficiency comes from concentrating spend on the strongest ""
        ""validated intent signals.""
    ),
    recommended_action=(
        ""Start with the highest-ranked eligible visitors and increase target ""
        ""size only when incremental economics remain positive.""
    ),
    limitation=(
        ""Precision may change when audience size, channel, season, or live ""
        ""visitor behaviour differs from the holdout.""
    ),
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0014,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,689,SECTION_HEADER,Audience composition,"render_section_header(
    ""Audience composition"",
    ""Understand who is inside the selected campaign audience"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0015,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,711,CONTROL,Composition view,"composition_view = st.radio(
        ""Composition view"",
        composition_views,
        horizontal=True,
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0016,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,722,CHART,composition_figure,"st.plotly_chart(
        composition_figure,
        use_container_width=True,
        key=f""exec_composition_{composition_view}"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0017,SVE-AUD-01;SVE-AUD-11;SVE-AUD-12;SVE-AUD-14,Executive Overview,app/Executive_Overview.py,727,INTERPRETATION,render_interpretation,"render_interpretation(
        what_it_shows=(
            f""Distribution of the current threshold-selected campaign ""
            f""audience by {composition_view.lower()}.""
        ),
        how_to_read=(
            ""Longer bars represent more selected visitors in that category. ""
            ""The category totals reconcile with the selected score rows, not ""
            ""with the complete validation projection.""
        ),
        actual_finding=(
            f""{int(composition_table['Visitors'].sum()):,} selected visitors ""
            f""are represented across {len(composition_table):,} categories. ""
            f""{composition_message}""
        ),
        conclusion=(
            ""Audience composition should influence campaign treatment rather ""
            ""than using one message for every selected visitor.""
        ),
        recommended_action=(
            ""Investigate the largest and highest-value groups on the ""
            ""segmentation and batch-scoring pages before activation.""
        ),
        limitation=(
            ""Intent tier comes from approved purchase-intent scores. Segment ""
            ""and anomaly attributes are available only where selected visitor ""
   ","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0018,SVE-AUD-01;SVE-AUD-11,Executive Overview,app/Executive_Overview.py,759,SECTION_HEADER,Champion evidence,"render_section_header(
    ""Champion evidence"",
    ""Model quality, threshold behaviour, and reliability"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0019,SVE-AUD-01;SVE-AUD-11;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,764,KPI_GRID,"[('PR-AUC', f""{float(holdout['pr_auc']):.3f}"", 'Rare-buyer ranking'), ('ROC-AUC', f""{float(holdout['roc_auc']):.3f}"", 'Overall discrimination'), ('Precision', f'{precision:.1%}', '","render_kpi_grid(
    [
        (""PR-AUC"", f""{float(holdout['pr_auc']):.3f}"", ""Rare-buyer ranking""),
        (""ROC-AUC"", f""{float(holdout['roc_auc']):.3f}"", ""Overall discrimination""),
        (""Precision"", f""{precision:.1%}"", ""Target quality""),
        (""Recall"", f""{float(holdout['recall']):.1%}"", ""Buyer capture""),
        (""F1 score"", f""{float(holdout['f1_score']):.3f}"", ""Precision-recall balance""),
        (
            ""Predicted-positive rate"",
            f""{float(holdout['predicted_positive_rate']):.3%}"",
            ""Share passing the threshold"",
        ),
    ]
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0020,SVE-AUD-01;SVE-AUD-11,Executive Overview,app/Executive_Overview.py,779,DETAIL_CARDS,"[('Evidence type', 'Final untouched holdout', f""{int(holdout['rows']):,} rows, {int(holdout['positive_rows']):,} observed buyers""), ('Decision rule', f""Score ≥ {float(holdout['thre","render_detail_cards(
    [
        (
            ""Evidence type"",
            ""Final untouched holdout"",
            (
                f""{int(holdout['rows']):,} rows, ""
                f""{int(holdout['positive_rows']):,} observed buyers""
            ),
        ),
        (
            ""Decision rule"",
            f""Score ≥ {float(holdout['threshold']):.2f}"",
            (
                f""{eligible_visitors:,} visitors pass the production threshold""
            ),
        ),
        (
            ""Reliability"",
            ""Probability caution"",
            (
                ""Ranking quality is validated; business use should focus on ""
                ""threshold decisions rather than treating scores as guaranteed ""
                ""purchase probabilities.""
            ),
        ),
    ]
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0021,SVE-AUD-01;SVE-AUD-13,Executive Overview,app/Executive_Overview.py,808,SECTION_HEADER,Forward outlook,"render_section_header(
    ""Forward outlook"",
    ""Compact KPI forecast with uncertainty when available"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0022,SVE-AUD-01;SVE-AUD-13,Executive Overview,app/Executive_Overview.py,825,CHART,forecast_figure,"st.plotly_chart(
        forecast_figure,
        use_container_width=True,
        key=""exec_forward_outlook"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0023,SVE-AUD-01;SVE-AUD-12;SVE-AUD-13,Executive Overview,app/Executive_Overview.py,830,INTERPRETATION,render_interpretation,"render_interpretation(
        what_it_shows=""The approved forward KPI forecast and its uncertainty."",
        how_to_read=(
            ""The central line is the expected path. The shaded interval is the ""
            ""range of plausible outcomes when interval data is available.""
        ),
        actual_finding=forecast_message,
        conclusion=(
            ""Forward planning should use the central estimate together with ""
            ""uncertainty, not the point forecast alone.""
        ),
        recommended_action=(
            ""Use the forecast for capacity and campaign timing, then review ""
            ""actual-versus-forecast error after each period.""
        ),
        limitation=(
            ""Forecast quality depends on the historical horizon, event ""
            ""coverage, and stability of future visitor behaviour.""
        ),
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0024,SVE-AUD-01;SVE-AUD-13,Executive Overview,app/Executive_Overview.py,851,SOURCE_NOTE,render_source_note,"render_source_note(
    source=evidence.forecast_source or ""No approved forecast source"",
    evidence_type=(
        ""Approved forecast evidence""
        if forecast_figure is not None
        else ""Forecast availability check""
    ),
    refreshed_at=evidence.source_timestamp,
    extra=forecast_message,
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0025,SVE-AUD-01;SVE-AUD-14;SVE-AUD-16,Executive Overview,app/Executive_Overview.py,862,SECTION_HEADER,Risk and operations,"render_section_header(
    ""Risk and operations"",
    ""Anomaly exposure and production-readiness evidence"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0026,SVE-AUD-01;SVE-AUD-14,Executive Overview,app/Executive_Overview.py,877,CHART,anomaly_figure,"st.plotly_chart(
        anomaly_figure,
        use_container_width=True,
        key=""exec_anomaly_distribution"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0027,SVE-AUD-01;SVE-AUD-12;SVE-AUD-14,Executive Overview,app/Executive_Overview.py,882,INTERPRETATION,render_interpretation,"render_interpretation(
        what_it_shows=(
            ""Current LOF anomaly-score distribution for the governed ""
            ""validation sample.""
        ),
        how_to_read=(
            ""Higher scores indicate stronger local deviation. Flagged visitors ""
            ""require investigation, not automatic removal.""
        ),
        actual_finding=(
            f""{anomaly['count']:,} visitors are flagged ""
            f""({anomaly['rate']:.1%}); the most affected segment is ""
            f""{anomaly['key_segment']}.""
        ),
        conclusion=(
            ""Anomalies represent a small but important operational review queue.""
        ),
        recommended_action=(
            ""Review severe cases before campaign activation and compare them ""
            ""with conversion outcomes when labels arrive.""
        ),
        limitation=(
            ""LOF is sample-relative and does not prove fraud, data error, or ""
            ""business harm.""
        ),
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0028,SVE-AUD-01;SVE-AUD-16,Executive Overview,app/Executive_Overview.py,911,CHART,build_readiness_figure(readiness),"st.plotly_chart(
    build_readiness_figure(readiness),
    use_container_width=True,
    key=""exec_readiness_strip"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0029,SVE-AUD-01;SVE-AUD-16,Executive Overview,app/Executive_Overview.py,916,INTERPRETATION,render_interpretation,"render_interpretation(
    what_it_shows=(
        ""Application, scoring, drift, alerting, and delayed-label readiness ""
        ""based on current project artifacts.""
    ),
    how_to_read=(
        ""Ready means supporting repository evidence exists. Unavailable means ""
        ""no matching artifact was found.""
    ),
    actual_finding=(
        f""{int(readiness['Status'].eq('Ready').sum())} of ""
        f""{len(readiness)} readiness areas currently have evidence.""
    ),
    conclusion=(
        ""Model quality and operational readiness must be reviewed together ""
        ""before production activation.""
    ),
    recommended_action=(
        ""Open the Monitoring and MLOps Architecture pages for detailed checks ""
        ""and closure actions.""
    ),
    limitation=(
        ""Artifact presence proves implementation evidence, not live service ""
        ""availability.""
    ),
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0030,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,952,SECTION_HEADER,Executive decision,"render_section_header(
    ""Executive decision"",
    ""Finding, action, and honest limitation"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0031,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,957,DETAIL_CARDS,"[('Finding', 'Current scenario', summary['finding']), ('Action', 'Recommended next move', summary['action']), ('Limitation', 'What this does not prove', summary['limitation'])]","render_detail_cards(
    [
        (""Finding"", ""Current scenario"", summary[""finding""]),
        (""Action"", ""Recommended next move"", summary[""action""]),
        (""Limitation"", ""What this does not prove"", summary[""limitation""]),
    ]
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0032,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,965,SECTION_HEADER,Investigate further,"render_section_header(
    ""Investigate further"",
    ""Move from executive signal to detailed evidence"",
)","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",KEEP,Preserve the current component and its existing business message as the clean baseline.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0033,SVE-AUD-01,Executive Overview,app/Executive_Overview.py,973,NAVIGATION,Model evidence,"st.page_link(
        ""pages/3_Model_Benchmark_Selection.py"",
        label=""Model evidence"",
        icon=""🏁"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",RETIRE,Package 2 accepted this visible control as excluded; do not count or reintroduce it without a new approved requirement.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
P03-0034,SVE-AUD-01;SVE-AUD-12,Executive Overview,app/Executive_Overview.py,979,NAVIGATION,Audience scoring,"st.page_link(
        ""pages/2_Batch_Scoring.py"",
        label=""Audience scoring"",
        icon=""📦"",
    )","final holdout, selected-score evidence, validation projection, forecast and repository readiness artifacts",current executive scenario or evidence row,visitorid; date + target_name; artifact category,holdout metrics; score/segment/anomaly fields; forecast values; artifact status,"Current source-defined validation, unavailable, empty-table or pre-action state; no value may be invented.",RETIRE,Package 2 accepted this visible control as excluded; do not count or reintroduce it without a new approved requirement.,Package 2,SOURCE_VERIFIED_VISUAL_QA_PENDING
